,cast,director,runtime,genres,production_companies,budget_adj,revenue_adj
4780,Will Ferrell|Gael GarcÃ­a Bernal|GÃ©nesis RodrÃ­guez|Diego Luna|Efren Ramirez,Matt Piedmont,84,Comedy|Western,NALA Films|Gary Sanchez Productions|Lions Gate,0.0,0.0
4781,Philip Seymour Hoffman|Mark Ivanir|Catherine Keener|Imogen Poots|Christopher Walken,Yaron Zilberman,105,Drama,Opening Night Productions,0.0,1484019.128
4783,Briana Evigan|Julianna Guill|Rafi Gavron|Ethan Peck|Joseph Cross,Richard Gray,88,Thriller,Zero Gravity Management|Vitamin A Films|Yellow Brick Films|Bo-Town Films|Emerald Peak Entertainment,1424616.422,0.0
4784,Jacob Zachar|Alexa Nikolas|Christa Brittany  Allen|Jayson Blair|Justin Chon,Alex Craig Mann,87,Comedy|Horror,Gala Film,474872.1407,0.0
4785,Hadas Yaron|Renana Raz|Yiftach Klein|Irit Sheleg|Razia Israeli,Rama Burshtein,90,Drama,Norma Productions|Avi Chai fund|Israel Film Fund|Reshet Broadcasting|Sundance,0.0,1686096.219
4786,Eddie Izzard|Toby Regbo|Rupert Penry-Jones|Daniel Mays|Philip Glenister,Steve Barron,180,Adventure|TV Movie,Kindle Entertainment|MNG Films,0.0,0.0
4787,Lambert Wilson|Mathieu Amalric|Michel Piccoli|Anne Consigny|Sabine AzÃ©ma,Alain Resnais,115,Drama,Centre National de la CinÃ©matographie|F Comme Film,0.0,0.0
4788,Ben Chaplin|Charlotte Riley|Cynthia Nixon|Carlo Rota|Rupert Evans,Michael Caton-Jones,389,Drama|History|Romance,Scott Free Productions|Tandem Communications|Galafilm Productions|Take 5 Productions,0.0,0.0
4789,Jaime King|Malcolm McDowell|Brendan Fehr|Lisa Marie|Ellen Wong,Steven C. Miller,99,Comedy|Horror|Thriller|Mystery,Buffalo Gal Pictures|Ember Productions|The Genre Co.,0.0,13834.92495
4790,Sridevi Kapoor|Priya Anand|Mehdi Nebbou|Adil Hussain|Ajith Kumar,Gauri Shinde,133,Drama,Eros International,2697273.759,11036028.55
4791,Noel Clarke|Bradley James|Lily James|Lenora Crichlow|Rupert Graves,Regan Hall,91,Drama,DJ Films|Aegis Film Fund|Ealing Metro International,0.0,0.0
4792,Dennis Coffey|Rodriguez|Stephen Segerman|Mike Theodore|Malik Bendjelloul,Malik Bendjelloul,85,Documentary|Music,Passion Pictures|Red Box Films|Canfield Pictures,0.0,0.0
4793,Mario Van Peebles|Carl Weathers|Johanna Watts|Nikki McCauley|Devin McGee,Thunder Levin,90,Action|Thriller|Science Fiction,The Asylum,0.0,0.0
4794,Rick Lens|Loek Peters|Susan Radder|Ricky Koole|Cahit Ã–lmez,Boudewijn Koole,81,Family,Waterland Film & TV,0.0,0.0
4795,Christian Slater|Michael Jai White|Crispin Glover|Billy Burke|Breanne Racano,Charles Matthau,90,Comedy,Final Cut Productions|The Matthau Company,0.0,0.0
4796,Danny Trejo|Mariel Hemingway|LeVar Burton|Ethan Suplee|Chad Lindberg,Nick Lyon,90,Action|Horror|Thriller,"Asylum, The",0.0,0.0
4798,FranÃ§ois-Xavier Demaison|Jean-Luc Couchard|Charlie Dupont|Abdelhafid Metalsi|Anne Marivin,Christian Merret-Palmair ,95,Comedy,UGC|TF1 Films Production|TF1 Droits Audiovisuels|Few|Scope Pictures,0.0,0.0
4799,Selma Blair|Joshua Close|James D'Arcy|Rachel Miner|Quinn Lord,Jeremy Power Regimbal,96,Thriller|Horror,Kinosmith|Sepia Films,3798977.125,0.0
4801,Colm Meaney|Brendan Fraser|Martin McCann|Yaya Alafia|David O'Hara,Terry George,94,Comedy|Drama,Generator Entertainment,0.0,0.0
4802,Jason Yee|Samantha Streets|Gary Stretch|Dominique Swain|Ron Yuan,David Ren,80,Action|Romance|Thriller,MiniFlix Films,1044718.709,0.0
4804,Alex Carter|Christianna Carmine|Emily Sandifer|Mitch Lerner|Victoria Barabas,Peter Geiger,90,Action|Science Fiction|Adventure|Thriller,The Asylum,0.0,0.0
4806,Gavin Brown|Ethan Philbeck|Phyllis Munro|Louie Lawless|Alex Kogin,Scott Schirmer,105,Thriller|Horror|Drama,The October People|Forbidden Films,7597.954251,0.0
4809,Jane Fonda|Catherine Keener|Elizabeth Olsen|Chace Crawford|Jeffrey Dean Morgan,Bruce Beresford,96,Comedy|Drama|Romance,Atlas Film,0.0,512763.1385
4810,Bella Heathcote|Jack Huston|Dominique McElligott|Brad Garrett|Christopher McDonald,David Chase,112,Drama,Paramount Vantage,18994885.63,580096.2091
4811,Aya Endo|Rie Kugimiya|Yuichi Nakamura|Aya Hirano|Satomi Satou,Masaya Fujimori,86,Action|Animation|Adventure,Dentsu|A-1 Pictures,0.0,0.0
4812,Ali Suliman|Evgenia Dodena|Reymond Amsalem|Dvir Benedek|Uri Gavriel,Ziad Doueiri,102,Drama,Canal+|3b productions|CinÃ©+|Scope Pictures|Fresco Films,0.0,0.0
4813,Caitlin Gerard|Melanie Papalia|Shane Dawson|Roger Bart|Keith David,Michael J. Gallagher,90,Horror,Level 10 Films,0.0,0.0
4814,Alan Cumming|Garret Dillahunt|Isaac Leyva|Frances Fisher|Gregg Henry,Travis Fine,97,Drama,PFM Pictures,0.0,0.0
4815,Jacob Matschenz|Katharina Spiering|Anna BrÃ¼ggemann|Alexander Khuon|Robert Gwisdek,Dietrich BrÃ¼ggemann,118,Comedy,teamWorx Produktion fÃ¼r Kino und Fernsehen GmbH,0.0,0.0
4816,Diane Keaton|Kevin Kline|Sam Shepard|Dianne Wiest|Richard Jenkins,Lawrence Kasdan,103,Drama|Romance,Kasdan Pictures|Werc Werk Works,0.0,0.0
4817,Marc Velasco|NoÃ© Blancafort|Salvador LlÃ³s|Victoria RoldÃ¡n|Roger Sotera,AdriÃ¡n Cardona|David MuÃ±oz,15,Action|Comedy|Horror,Eskoria Films,0.0,0.0
4820,Luke Goss|Caroline Tillette|Stephen Marcus|Danny Midwinter,Perry Bhandal,95,Action|Thriller,Scanner-Rhodes Productions|Kirlian Pictures|Northstar Ventures|Northern Film and Media,0.0,0.0
4821,Michael Eklund|Karoline Herfurth|TÃ³mas Lemarquis|Rik Mayall|Ulrich Meinecke,Eron Sheean,102,Science Fiction|Thriller|Drama,Instinctive Film|XYZ Films|High Five Films|Pandastorm Pictures,1424616.422,0.0
4822,Catherine BÃ©rubÃ©|Wade Carroll|Sean Faris|Fiona Forsythe|Cynthia Galant,Allan Arkush,90,Drama|Family,Hallmark Hall of Fame Productions,0.0,0.0
4823,Christine Barnes|Hoselito Bite|Marco Confortola,Nick Ryan,95,Adventure|Documentary,image now films,0.0,0.0
4824,Juno Temple|Riley Keough|Kylie Minogue|Cara Seymour|Lou Taylor Pucci,Bradley Rust Gray,110,Drama|Horror|Romance,RCR Media Group,0.0,0.0
4826,Anon2World|Anonyops|Julian Assange|Aaron Barr|Barrett Brown,Brian Knappenberger,93,Documentary,Luminant Media,0.0,0.0
4827,Lee Na-young|Lee Sung-min|Kang-ho Song|Shin Jung-Keun,Yoo Ha,114,Thriller|Mystery|Foreign,CJ Entertainment,0.0,0.0
4828,Ami Ayalon|Avraham Shalom|Yaakov Peri|Carmi Gillon|Avi Dichter,Dror Moreh,101,Documentary,Les Films du Poisson|Cinephil|RTBF|Arte France|NDR,0.0,0.0
4830,Brady Corbet|Mati Diop|MichaÃ«l Abiteboul|Constance Rousseau|Lila Salet,Antonio Campos,105,Drama,FilmHaven Entertainment|BorderLine Films,0.0,0.0
4831,Nicholas Hope|Kelly Paterniti|Sam Reid,Daniel Krige,93,Thriller|Horror|Comedy,Green Light Media,474872.1407,949744.2814
4833,Barbara Niven|Jessica Clark|John Heard|Morgan Fairchild|Rebecca Staab,Nicole Conn,110,Drama,Soul Kiss Films,0.0,0.0
4834,Yuddvir Bakolia|Ila Arun|Aanjjan Srivastav|Sachin Khedekar|Vishnu Sharma,Arnab Chaudhuri,96,Adventure|Animation|Action|Foreign,Walt Disney Pictures|UTV Motion Pictures,0.0,0.0
4836,Nigel Anthony|Ruth Rayyah McCaul,Timothy Reckart,10,Family|Animation|Comedy|Romance,National Film and Television School (NFTS),9877.340526,0.0
4837,Eric McCormack|Jody Thompson|Conner Dwelly|Ryan Grantham|Dalias Blake,Andrew Currie,82,Horror|Mystery|Thriller,WWE Studios,0.0,0.0
4838,James Cromwell|GeneviÃ¨ve Bujold|Campbell Scott|Julie Stewart|Rick Roberts,Michael McGowan,102,Drama,Mulmur Feed Co. Production,0.0,0.0
4841,Khary Payton|Brian Baumgartner|Lance Henriksen|James Madio|Alec Gillis,Eric Hayden,90,Science Fiction,TMA-1 Productions,0.0,0.0
4842,Ross Noble|Tommy Knight|Gemma-Leah Devereux|John McDonnell,Conor McMahon,86,Horror,BÃ³rd ScannÃ¡n na hÃ‰ireann|Irish Film Board|Fantastic Films|MPI Media Group|Tailored Films,94974.42814,90225.70673
4843,Aniello Arena|Loredana Simioli|Nando Paone|Graziella Marina|Aniello Iorio,Matteo Garrone,110,Drama|Comedy,Fandango|Rai Cinema|Le Pacte|Archimede,0.0,0.0
4844,Jeffrey Dean Morgan|Josie Ho|Til Schweiger|Miguel Ferrer|Lili Taylor,Hany Abu-Assad,91,Action|Crime,Films In Motion,0.0,0.0
4846,Christopher Lloyd|Devon Bostick|Martha MacIsaac|Brandon Jay McLaren|Brittany Allen,April Mullen,88,Adventure|Comedy|Horror,KSM,0.0,0.0
4847,Joel Edgerton|Teresa Palmer|Felicity Price|Antony Starr|Nicholas Cassim,Kieran Darcy-Smith,93,Drama|Comedy|Thriller|Mystery|Romance,Entertainment One|Hopscotch Films,0.0,0.0
4848,Mischa Barton|Ryan Eggold|Leah Pipes|Frank Ashmore|Melinda Browne,Mark Edwin Robinson,107,Drama|Horror|Romance|Thriller,Zero Gravity Management|Castlight Pictures,4748721.407,0.0
4849,Chris Martin,Paul Dugdale,97,Music,EMI Records Ltd.,0.0,0.0
4851,Johnny Pacar|Ambyr Childers|Christian Slater|Alessandra Torresani|Toby Hemingway,Michael A. Nickles,95,Horror|Thriller,Bennett-Robbins Productions,7123082.11,0.0
4852,Tyler James Williams|Coco Jones|Courtney B. Vance|Dawnn Lewis|Alex DÃ©sert,Paul Hoen,90,Family|Music|TV Movie,Disney Channel,0.0,0.0
4854,Eric Wareheim|Tim Heidecker|John C. Reilly|Zach Galifianakis|Will Ferrell,Eric Wareheim|Tim Heidecker,94,Comedy,2929 Productions|Gary Sanchez Productions|Funny or Die,0.0,0.0
4855,Elliott Tittensor|Emilia Clarke|Nico Mirallegro|Adam Long|Oliver Heald,Mat Whitecross,96,Comedy|Drama|Music,Head Gear Films|Bankside Films|Fiesta Productions,0.0,0.0
4856,Michael Polley|Harry Gulkin|Susy Buchan|John Buchan|Mark Polley,Sarah Polley,108,Documentary,National Film Board of Canada (NFB),0.0,0.0
4857,Mary Carey|Amber Lynn|John Leslie|Asia Carrera|Luke Ford,Bryce Wagoner,90,Documentary,Oxymoron Entertainment|Mallick Media,379897.7125,0.0
4859,Charlie Sheen|Wayne Brady|Hilary Duff|Eva Longoria|Christopher Lloyd,Lawrence Kasanoff,87,Animation|Action|Comedy|Family,Threshold Entertainment|Lions Gate Family Entertainment,61733378.29,70001.852
4861,Kate Ashfield|Jo Hartley|Martin Compston|Steven Waddington|Craig Parkinson,Pat Holden,86,Thriller|Drama|Horror,Kintop Pictures,0.0,0.0
4862,Alicia Silverstone|Krysten Ritter|Sigourney Weaver|Richard Lewis|Wallace Shawn,Amy Heckerling,93,Comedy|Romance|Horror,Lucky Monkey Pictures|Red Hour Films,15195908.5,0.0
4863,Toby Jones|Tonia Sotiropoulou|Susanna Capellaro|Cosimo Fusco|Hilda PÃ©ter,Peter Strickland,92,Horror|Drama|Thriller,Warp X|Illuminations Films,0.0,0.0
4865,Toby Jones|Sienna Miller|Imelda Staunton|Penelope Wilton|Sean Cameron Michael,Julian Jarrold,91,Drama,Home Box Office (HBO)|British Broadcasting Corporation (BBC)|Moonlighting Films,0.0,0.0
4866,Ireneusz Czop|Maciej Stuhr|Jerzy RadziwiÅ‚owicz|Zuzana FialovÃ¡|Andrzej Mastalerz,WÅ‚adysÅ‚aw Pasikowski,107,Mystery|Drama|Thriller,Topkapi Film|Apple Film Productions,0.0,0.0
4867,Jolene Van Vugt|Tommy Passemante|Jeremy Rawle|Gregg Godfrey|Greg Powell,Gregg Godfrey|Jeremy Rawle,92,Action|Comedy,Arc Entertainment,0.0,3707306.858
4868,Christopher Backus|Jennifer Blanc|AJ Bowen|Dana Daurey|Brianne Davis,Danielle Harris,80,Comedy|Horror,Hollywood Treasures|Three Little Birds Productions,0.0,0.0
4869,Bill Oberst Jr.|Corbin Bleu|Shawn-Caulin Young|Elizabeth Di Prinzio|Kellie Cockrell,Michael Emanuel|Bob Badway,94,Horror,Canal Street Films,0.0,0.0
4871,Jessica Lowndes|Annabeth Gish|Grant Gustin|Jay Brazeau|Samuel Patrick Chu,Vic Sarin,90,TV Movie|Crime|Mystery|Thriller,Sepia Films,0.0,0.0
4873,Jared Leto|Shannon Leto|Tomo MiliÄeviÄ‡|Irving Azoff|Chester Bennington,Jared Leto,105,Documentary|Music,FilmBuff,0.0,0.0
4874,Amy Schumer,Ryan Polito,41,Comedy,Comedy Central,0.0,0.0
4875,Eddie Redmayne|ClÃ©mence PoÃ©sy|Matthew Goode|Rory Keenan|Thomas Turgoose,Philip Martin,165,Drama|History|Romance|TV Movie,NBC Universal Television|Working Title Television Production,0.0,0.0
4876,Hugh Laurie|Xzannjah Matsi|Healesville Joel|Eka Darville|Kerry Fox,Andrew Adamson,116,Drama|War,Olympus Pictures|Eyeworks Film|Daydream Productions,0.0,0.0
4878,Lori Alan|Clancy Brown|Rodger Bumpass|Bill Fagerbakke|John Goodman,Mark Caballero|Seamus Walsh,90,Family|Animation|Comedy,Nickelodeon Animation Studios,0.0,0.0
4881,Aamir Khan|Kareena Kapoor|Rani Mukerji|Nawazuddin Siddiqui|Subrat Dutta,Reema Kagti,149,Drama|Thriller|Crime|Romance,Reliance Entertainment,8082323.834,0.0
4882,Emanuelle Carriere|Christine Emes|Celine Filion|Angela Parent|Duncan Milloy,Brett Kelly,75,Action|Horror|Science Fiction,Dudez Productions,0.0,0.0
4884,Angela Davis|Eisa Davis,Shola Lynch,101,Documentary,Overbrook Entertainment,0.0,0.0
4885,Danielle Panabaker|Nicole LaLiberte|Liam Aiken|Matthew Rauch|Michael Stahl-David,Austin Chick,87,Drama|Thriller,Floren Shieh Productions,0.0,0.0
4886,Carice van Houten|Jelka van Houten|Holly Hunter|Valerie Adams|Luis Bordonada,Antoinette Beumer,100,Comedy|Drama,Eyeworks Film & TV Drama|Inspire Pictures|Indieproduction,0.0,264028.9102
4887,Caity Lotz|Casper Van Dien|Agnes Bruckner|Mark Steger|Haley Hudson,Nicholas McCarthy,89,Horror|Mystery|Thriller,Preferred Content,0.0,0.0
4891,AgnÃ¨s Jaoui|Denis PodalydÃ¨s|Isabelle CarrÃ©|Isabella Rossellini|Juliette Gombert,Carine Tardieu,89,Family|Comedy,Gaumont,0.0,0.0
4893,Callan McAuliffe|Anthony LaPaglia|Alex Williams|Laura Wheelwright|Rachel Griffiths,Robert Connolly,89,Drama,Screen Australia|Film Victoria,0.0,0.0
4897,Maribel VerdÃº|Macarena GarcÃ­a|Daniel GimÃ©nez Cacho|Ãngela Molina|Inma Cuesta,Pablo Berger,104,Drama|Fantasy,Eurimages|Motion Investment Group|Arte France|TelevisiÃ³n EspaÃ±ola (TVE)|TelevisiÃ³ de Catalunya TV3,0.0,265676.7165
4898,Matthew Cooke|Woody Harrelson|Susan Sarandon|Barry Cooper|Eminem,Matthew Cooke,96,Documentary,Bert Marcus Productions,0.0,0.0
4899,Markus Persson|Jens Bergensten|Jakob Porser|Carl Manneh|Peter Molyneux,Paul Owens,104,Documentary,2 Player Productions,0.0,0.0
4902,Ricardo DarÃ­n|Luis Tosar|Javier CÃ¡mara|Eduardo Noriega|Leonor Watling,Cesc Gay,100,Comedy|Romance,TelevisiÃ³ de Catalunya TV3|TelevisiÃ³n EspaÃ±ola TVE|Impossible Films,0.0,0.0
4903,Katy Perry|Russell Brand|Shannon Woodward|Rachael Markarian|Mia Moretti,Dan Cutforth|Jane Lipsitz,93,Documentary|Music,Paramount Pictures|Imagine Entertainment|MTV Films|Insurge Pictures,11396931.38,31082239.31
4905,Jim Gaffigan,Jay Karas,78,Comedy|TV Movie,New Wave Entertainment|Chimichanga Productions|Brillstein Entertainment Partners,0.0,0.0
4907,Temuera Morrison|Nicola Kawana|Hannah Tevita|Kate Elliott|Jack Sergent-Shadbolt,Danny Mulheron,91,Comedy|Horror,The Gibson Group,0.0,0.0
4908,Sienna Miller|Golshifteh Farahani|Bahar Soomekh|Tim Guinee|Roschdy Zem,Rachid Bouchareb,105,Drama,The 7th Floor|ARTE|3B Productions|Doha Film Institute|Cohen Media Group,0.0,0.0
4909,Thure Lindhardt|Dylan Smith|Georgina Reilly|Alain Goulem|Stephen McHattie,Boris Rodriguez,79,Horror|Comedy,Det Danske Filminstitut|TÃ©lÃ©film Canada|Fridthjof Film|Make A Move,0.0,1549.982667
4910,Brittany Belland|Riana Ballo|Jessica Cameron|Jason Jay Crabtree|John Bloom,Justin Russell,90,Horror|Comedy|Thriller,Gamma Knife Films,0.0,0.0
4911,Jonathan Rhys Meyers|Natalia Vodianova|Ed Stoppard|Marianne Faithfull,Glenio Bonder,124,Drama|Romance,Delux Productions|B.D.S. Productions|TNVO,0.0,0.0
4912,"Clifton Collins, Jr.|Josh Lawson|Brit Morgan|Olivia Munn|Kevin Sussman",Dan Rosen,77,Comedy,Broken Lizard Industries|ATG Productions|Matthew Pritzker Films,2849232.844,0.0
4913,Brooke Burns|Nicole Paggi|Justin Baldoni|Gregory Harrison|Jamison Jones,Matthew Diamond,92,Romance,Larry Levinson Productions,0.0,0.0
4915,Evelyne Brochu|Sabrina Ouazani|Sivan Levy|Yousef Sweid|Hammoudeh Alkarmi,AnaÃ¯s Barbeau-Lavalette,101,Drama,micro_scope,0.0,0.0
4918,Maeve Jinkings|Irandhir Santos|Gustavo Jahn|W.J. Solha|Irma Brown,Kleber MendonÃ§a Filho,131,Drama|Foreign|Thriller,CinemaScÃ³pio,0.0,0.0
4919,Freddie Mercury|Roger Taylor|Brian May|Luciano Pavarotti|Montserrat CaballÃ©,Rhys Thomas,107,Music|Documentary,Arte|Eagle Rock Entertainment,0.0,0.0
4922,Diane Rosser|Christian Vazquez|Rodrigo Azuela|Diego CataÃ±o|Miriana Moro,Humberto Hinojosa,105,Romance,Eficine 226|Tigre Pictures,0.0,0.0
4923,Eugene Jarecki,Eugene Jarecki,110,Documentary,British Broadcasting Corporation (BBC)|Zweites Deutsches Fernsehen (ZDF)|Louverture Films|Vrijzinnig Protestantse Radio Omroep (VPRO)|NHK Enterprises,0.0,0.0
4924,Liev Schreiber|Toni Collette|Caroline Goodall|Anthony LaPaglia|Kerry Fox,P.J. Hogan,116,Comedy|Drama,Screen Australia,0.0,0.0
4925,Katrina Bowden|Gerald Webb|Randy Wayne|Josh Allen|Alex Ball,Jared Cohn,87,Horror,The Global Asylum,0.0,0.0
4926,Billi Baker|Michael Thomson|Allira Jaques|Holly Phillips,Chris Sun,126,Horror|Thriller,Slaughter FX,0.0,0.0
4928,Jasen Wade|Summer Bellessa|Chris Hill,Kerry Bellessa,81,Thriller|Horror|Mystery,Underground Films\,0.0,0.0
4929,Tim Heidecker|Eric Wareheim|James Murphy|Kate Lyn Sheil|Adam Scarimbolo,Rick Alverson,95,Drama,Glass Eye Pix|Greyshack Films|Rough House Pictures,0.0,0.0
4931,Michael Jordan|Larry Bird|Magic Johnson|Charles Barkley,Zak Levitt,70,Documentary,NBA Entertainment,0.0,0.0
4932,Jim Jefferies,Jay Karas,60,Comedy,New Wave Entertainment,0.0,0.0
4934,John Mulaney,Ryan Polito|Jake Szymanski,60,Comedy,Irwin Entertainment,0.0,0.0
4935,Lindsay Lohan|Grant Bowler|Theresa Russell|David Hunt,Lloyd Kramer,88,Drama|TV Movie,Lifetime|Silver Screen Pictures,0.0,0.0
4936,Drake Bell|Daniella Monet|David Lewis|Daran Norris|Teryl Rothery,Savage Steve Holland,65,Family|Fantasy,Pacific Bay Entertainment Canada|Pacific Bay Entertainment,0.0,0.0
4937,Zamand Taha|Sarwar Fazil,Karzan Kader,97,Drama,Sonet Film AB,1899488.563,0.0
4938,Ricardo DarÃ­n|Martina Gusman|JÃ©rÃ©mie Renier|Federico BenjamÃ­n Barga|Mauricio Minetti,Pablo Trapero,105,Drama,ARTE|Canal+ EspaÃ±a,0.0,0.0
4942,Fatima Ptacek|Shawn Christensen|Dana Segal|Kirsten Holly Smith|Kim Allen,Shawn Christensen,19,Drama,Fuzzy Logic Pictures,0.0,0.0
4944,Brooke D'Orsay|Eric Mabius|Jody Thompson|Gina Holden|Panou,Mark Griffiths,0,Comedy|Romance|TV Movie,Annuit Coeptis Entertainment Inc.|Annuit Coeptis Entertainment II,0.0,0.0
4947,Antron McCray|Kevin Richardson|Yusef Salaam|Raymond Santana|Kharey Wise,Sarah Burns|Ken Burns,119,Documentary,Florentine Films|WETA,0.0,259989.6478
4948,Kori Cioca|Jessica Hinves|Ariana Klay|Elle Helmer|Hannah Sewell,Kirby Dick,93,Crime|Drama|History|Documentary,Canal+|Chain Camera Pictures|ITVS|Rise Films|Girls' Club Entertainment,0.0,0.0
4949,Elijah Wood|Ian McKellen|Viggo Mortensen|Liv Tyler|Orlando Bloom,Peter Jackson,201,Adventure|Fantasy|Action,WingNut Films|New Line Cinema,111423148.6,1326278010.0
4950,Kate Beckinsale|Scott Speedman|Michael Sheen|Shane Brolly|Bill Nighy,Len Wiseman,121,Fantasy|Action|Thriller,Lakeshore Entertainment|Laurinfilm|Subterranean Productions LLC|Subterranean Productions UK Ltd.|Underworld Produktions GmbH,26077758.19,113448272.6
4951,Johnny Depp|Geoffrey Rush|Orlando Bloom|Keira Knightley|Jack Davenport,Gore Verbinski,143,Adventure|Fantasy|Action,Walt Disney Pictures|Jerry Bruckheimer Films,165949370.3,776419286.7
4952,Uma Thurman|Lucy Liu|Vivica A. Fox|Daryl Hannah|David Carradine,Quentin Tarantino,111,Action|Crime,Miramax Films|A Band Apart|Super Cool ManChu,35560579.34,214488375.7
4953,Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Mary Alice,Lilly Wachowski|Lana Wachowski,129,Adventure|Action|Thriller|Science Fiction,Village Roadshow Pictures|NPV Entertainment|Silver Pictures|Warner Bros.,177802896.7,503760899.9
4954,Keanu Reeves|Carrie-Anne Moss|Laurence Fishburne|Hugo Weaving|Helmut Bakaitis,Lilly Wachowski|Lana Wachowski,138,Adventure|Action|Thriller|Science Fiction,Village Roadshow Pictures|NPV Entertainment|Heineken Branded Entertainment|Silver Pictures|Warner Bros.,177802896.7,875501109.0
4955,Albert Brooks|Ellen DeGeneres|Alexander Gould|Willem Dafoe|Brad Garrett,Andrew Stanton|Lee Unkrich,100,Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Disney Enterprises,111423148.6,1024886690.0
4956,Jim Carrey|Jennifer Aniston|Philip Baker Hall|Catherine Bell|Lisa Ann Walter,Tom Shadyac,101,Fantasy|Comedy,Universal Pictures|Spyglass Entertainment|Shady Acres Entertainment|Pit Bull Productions,94828211.58,574389691.6
4957,Bill Nighy|Gregor Fisher|Colin Firth|Sienna Guillory|Liam Neeson,Richard Curtis,135,Comedy|Romance|Drama,DNA Films,47414105.79,290330516.6
4958,Will Ferrell|James Caan|Zooey Deschanel|Mary Steenburgen|Daniel Tay,Jon Favreau,97,Romance|Comedy|Family|Fantasy,New Line Cinema|Gold/Miller Productions|Guy Walks into a Bar Productions,37931284.63,205538391.9
4959,Arnold Schwarzenegger|Nick Stahl|Claire Danes|Kristanna Loken|David Andrews,Jonathan Mostow,109,Action|Thriller|Science Fiction,Columbia Pictures|Intermedia Films|Warner Bros.|C-2 Pictures|IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,237070529.0,515628400.5
4960,Michael Pitt|Eva Green|Louis Garrel|Anna Chancellor|Robin Renucci,Bernardo Bertolucci,115,Drama|Romance,Peninsula Films|Recorded Picture Company (RPC)|Fiction Films,17780289.67,17923912.92
4961,Ewan McGregor|Albert Finney|Billy Crudup|Jessica Lange|Helena Bonham Carter,Tim Burton,125,Adventure|Fantasy|Drama,The Zanuck Company|Columbia Pictures Corporation|Jinks/Cohen Company|Tim Burton Productions,82974685.13,145702426.9
4962,Ben Affleck|Jennifer Garner|Colin Farrell|Michael Clarke Duncan|Jon Favreau,Mark Steven Johnson,103,Fantasy|Action|Crime|Science Fiction|Thriller,Twentieth Century Fox Film Corporation|Regency Enterprises|Epsilon Motion Pictures|New Regency Pictures|Marvel Enterprises,92457506.29,212391152.6
4963,Jason Biggs|Alyson Hannigan|Seann William Scott|Eddie Kaye Thomas|Thomas Ian Nicholas,Jesse Dylan,103,Comedy|Romance,Universal Pictures|Zide-Perry Productions|LivePlanet|Loumolo & Co.,65194395.46,274348924.9
4964,Sean Connery|Peta Wilson|Shane West|Stuart Townsend|Jason Flemyng,Stephen Norrington,110,Fantasy|Action|Thriller|Science Fiction,Twentieth Century Fox Film Corporation|JD Productions|International Production Company|Angry Films|Mediastream Dritte Film GmbH & Co. Beteiligungs KG,92457506.29,212492483.7
4965,Mark Wahlberg|Charlize Theron|Jason Statham|Edward Norton|Fausto Callegarini,F. Gary Gray,111,Thriller|Action|Crime,Paramount Pictures|De Line Pictures|Working Title Films,71121158.69,208705242.9
4966,John Goodman|Haley Joel Osment|Mae Whitman|Phil Collins|Connor Funk,Steve Trenbirth,72,Family|Animation|Adventure,Walt Disney Pictures|Walt Disney Television Animation|Walt Disney Animation Australia|DisneyToon Studios,23707052.9,160828646.8
4967,Bill Murray|Scarlett Johansson|Anna Faris|Giovanni Ribisi|Akiko Takeshita,Sofia Coppola,102,Drama,American Zoetrope,4741410.579,141914989.4
4968,Billy Bob Thornton|Tony Cox|Brett Kelly|Lauren Graham|Bernie Mac,Terry Zwigoff,91,Drama|Comedy|Crime,Columbia Pictures|Dimension Films (US version),27263110.83,90666306.87
4969,Rowan Atkinson|John Malkovich|Natalie Imbruglia|Tasha de Vasconcelos|Ben Miller,Peter Howitt,88,Adventure|Action|Comedy,Universal Pictures|StudioCanal,47414105.79,190347505.1
4970,Joaquin Phoenix|Jeremy Suarez|Rick Moranis|Joan Copeland|Michael Clarke Duncan,Aaron Blaise|Robert Walker,85,Animation|Adventure|Family|Fantasy,Walt Disney Pictures|Walt Disney Feature Animation,118535264.5,296.3381612
4971,Jeremy Sumpter|Jason Isaacs|Rachel Hurd-Wood|Richard Briers|Olivia Williams,P.J. Hogan,113,Adventure|Fantasy|Family,Columbia Pictures|Universal Pictures|Revolution Studios|Quinta Communications,118535264.5,144583401.9
4972,Pamela Anderson|Jenny McCarthy|Marny Eng|Charlie Sheen|Simon Rex,David Zucker,84,Comedy,Dimension Films|Brad Grey Pictures,56896926.95,261575581.4
4973,Jessica Alba|Mekhi Phifer|Joy Bryant|Romeo Miller|David Moscow,Bille Woodruff,94,Music,Universal Pictures|Marc Platt Productions|NuAmerica Entertainment,21336347.61,74258506.21
4974,Vin Diesel|Larenz Tate|Timothy Olyphant|Geno Silva|Jacqueline Obradors,F. Gary Gray,109,Action|Drama,"New Line Cinema|Newman/Tooley Films|Joseph Nittolo Entertainment|""DIA"" Productions GmbH & Co. KG",42672695.21,52571487.43
4975,Jack Black|Joan Cusack|Mike White|Sarah Silverman|Adam Pascal,Richard Linklater,108,Comedy|Music,Paramount Pictures,41487342.57,155616590.8
